SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)[C@H](CCN)n1cnc(c1)Cl,1/000001001,"InChI=1S/C17H18ClN5O4/c18-15-8-23(9-20-15)12(3-5-19)14-2-1-10(27-14)7-13(25)16-11(4-6-24)17(26)22-21-16/h1-2,4,8-9,12,24H,3,5-7,19H2,(H,22,26)/b11-4-/t12-/m0/s1",C17H18N5O4Cl,391,0.32,6.15,1.62,5.35,-170,4.248686927494223,1
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)CC[C@@H](c1cscc1)N,1/000001011,"InChI=1S/C18H19N3O4S/c19-15(11-6-8-26-10-11)4-3-12-1-2-13(25-12)9-16(23)17-14(5-7-22)18(24)21-20-17/h1-2,5-6,8,10,15,22H,3-4,7,9,19H2,(H,21,24)/b14-5-/t15-/m0/s1",C18H19N3O4S,373,0.54,5.98,2.84,3.98,-170,3.8991570926075507,1
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)CC[C@@H](C1=CSCC1)N,1/000001031,"InChI=1S/C18H21N3O4S/c19-15(11-6-8-26-10-11)4-3-12-1-2-13(25-12)9-16(23)17-14(5-7-22)18(24)21-20-17/h1-2,5,10,15,22H,3-4,6-9,19H2,(H,21,24)/b14-5-/t15-/m0/s1",C18H21N3O4S,375,0.33,5.94,2.76,3.98,-170,4.346683495933954,1
C#CC(=O)OC[C@H](CCc1oc(cc1)CC(=O)C1=NNC(=O)/C/1=C\CO)N,1/000001020,"InChI=1S/C18H19N3O6/c1-2-16(24)26-10-11(19)3-4-12-5-6-13(27-12)9-15(23)17-14(7-8-22)18(25)21-20-17/h1,5-7,11,22H,3-4,8-10,19H2,(H,21,25)/b14-7-/t11-/m0/s1",C18H19N3O6,373,-0.28,5.78,2.3,5.5,-170,4.2068899558343045,1
Sc1c(/C=C/C=C/[C@H](c2nncs2)O)cc(cc1ON)Br,15/000000234,"InChI=1S/C13H12BrN3O2S2/c14-9-5-8(12(20)11(6-9)19-15)3-1-2-4-10(18)13-17-16-7-21-13/h1-7,10,18,20H,15H2/b3-1+,4-2+/t10-/m1/s1",C13H12N3O2S2Br,386,2.66,5.76,-6.3,3.7,-190,4.285903145067304,1
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)/C=C/Nc1cccc2c1C(=O)NC2=O,1/000000999,"InChI=1S/C21H16N4O6/c26-9-7-14-18(24-25-20(14)29)16(27)10-12-5-4-11(31-12)6-8-22-15-3-1-2-13-17(15)21(30)23-19(13)28/h1-8,22,26H,9-10H2,(H,25,29)(H,23,28,30)/b8-6+,14-7-",C21H16N4O6,420,0.5,5.75,-0.23,6.74,-100,3.544765242063936,1
Sc1nnc([nH]1)[C@H](COC(=O)CNc1ncnc2c1cn[nH]2)N,1/000000699,"InChI=1S/C11H13N9O2S/c12-6(10-17-11(23)20-19-10)3-22-7(21)2-13-8-5-1-16-18-9(5)15-4-14-8/h1,4,6H,2-3,12H2,(H2,17,19,20,23)(H2,13,14,15,16,18)/t6-/m0/s1",C11H13N9O2S,335,1.12,5.74,1.19,3.58,-190,3.9350610257113736,1
Oc1c(OC(=O)c2nnc([nH]2)CCC[NH3+])cc(cc1)CN,17/000001158,"InChI=1S/C13H17N5O3/c14-5-1-2-11-16-12(18-17-11)13(20)21-10-6-8(7-15)3-4-9(10)19/h3-4,6,19H,1-2,5,7,14-15H2,(H,16,17,18)/p+1",C13H18N5O3,292,0.93,5.72,0.13,3.58,0,3.5143750415534205,1
Oc1cc(cc(c1CC/C=C/C[NH3+])N(=O)=O)NC(=O)Cc1n[nH]nc1,17/000001600,"InChI=1S/C15H18N6O4/c16-5-3-1-2-4-12-13(21(24)25)6-10(7-14(12)22)18-15(23)8-11-9-17-20-19-11/h1,3,6-7,9,22H,2,4-5,8,16H2,(H,18,23)(H,17,19,20)/p+1/b3-1+",C15H19N6O4,347,1.38,5.71,-2.19,3.58,-60,3.4913758515612585,1
Sc1c(/C=C/C=C/[C@H](CC)O)cc(cc1ON)Br,15/000000256,"InChI=1S/C13H16BrNO2S/c1-2-11(16)6-4-3-5-9-7-10(14)8-12(17-15)13(9)18/h3-8,11,16,18H,2,15H2,1H3/b5-3+,6-4+/t11-/m0/s1",C13H16NO2SBr,330,2.68,5.69,-6.22,2.35,-190,3.9226164560949472,1
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)[C@H](C(=C)c1ccccc1)O,1/000001018,"InChI=1S/C20H18N2O5/c1-12(13-5-3-2-4-6-13)19(25)17-8-7-14(27-17)11-16(24)18-15(9-10-23)20(26)22-21-18/h2-9,19,23,25H,1,10-11H2,(H,22,26)/b15-9-/t19-/m0/s1",C20H18N2O5,366,0.93,5.63,0.58,3.84,-150,3.842480854619729,1
O=C(C/C=C/Cc1ncnc(n1)/C=C\CCC[C@@H](C)N)NCCc1ccc(cc1)Cl,22/000000015,"InChI=1S/C23H30ClN5O/c1-18(25)7-3-2-4-8-21-27-17-28-22(29-21)9-5-6-10-23(30)26-16-15-19-11-13-20(24)14-12-19/h4-6,8,11-14,17-18H,2-3,7,9-10,15-16,25H2,1H3,(H,26,30)/b6-5+,8-4-/t18-/m1/s1",C23H30N5OCl,427,2.59,5.62,10.33,8.12,-170,3.5016415043731133,1
OP(=O)(OC[C@@H](c1cc(Cl)c(c(c1)/C=C\C)Cl)C(=O)OC/C=C\NCc1ncoc1)O,8/000000055,"InChI=1S/C19H21Cl2N2O7P/c1-2-4-13-7-14(8-17(20)18(13)21)16(11-30-31(25,26)27)19(24)29-6-3-5-22-9-15-10-28-12-23-15/h2-5,7-8,10,12,16,22H,6,9,11H2,1H3,(H2,25,26,27)/b4-2-,5-3-/t16-/m0/s1",C19H21N2O7PCl2,490,1.89,5.6,2.08,6.05,-190,4.172950423895639,1
Oc1c(OC(=O)c2nnc([nH]2)CCC)cc(cc1)[C@H](Cc1sccn1)N,17/000001330,"InChI=1S/C17H19N5O3S/c1-2-3-14-20-16(22-21-14)17(24)25-13-8-10(4-5-12(13)23)11(18)9-15-19-6-7-26-15/h4-8,11,23H,2-3,9,18H2,1H3,(H,20,21,22)/t11-/m0/s1",C17H19N5O3S,373,2.3,5.56,-1.62,6.45,-170,3.5712427474932067,1
ONC/C=C\C[C@](CCCl)(Cc1nnsc1)O,1/000000832,"InChI=1S/C10H16ClN3O2S/c11-5-4-10(15,3-1-2-6-12-16)7-9-8-17-14-13-9/h1-2,8,12,15-16H,3-7H2/b2-1-/t10-/m0/s1",C10H16N3O2SCl,277,2.63,5.52,-0.88,3.58,-150,4.441951383529146,1
O[C@@H](c1cc(Cl)ccc1O)C1=CN[C@@H](N1)C,11/000000006,"InChI=1S/C11H13ClN2O2/c1-6-13-5-9(14-6)11(16)8-4-7(12)2-3-10(8)15/h2-6,11,13-16H,1H3/t6?,11-/m0/s1",C11H12N2O2Cl,239,2.03,5.5,5.08,2.22,-170,4.048494688176955,1
OC(=O)/C=C\c1ncc(o1)c1c[nH]c(c1)CCc1ccc(cc1)O,4/000000007,"InChI=1S/C18H16N2O4/c21-15-5-2-12(3-6-15)1-4-14-9-13(10-19-14)16-11-20-17(24-16)7-8-18(22)23/h2-3,5-11,19,21H,1,4H2,(H,22,23)/b8-7-",C18H16N2O4,324,1.95,5.48,-2.53,3.58,-120,2.8921451785719583,1
Oc1c(OC(=O)COCN)ccc(c1n1cnnc1)C[NH3+],17/000000256,"InChI=1S/C12H15N5O4/c13-3-8-1-2-9(21-10(18)4-20-5-14)12(19)11(8)17-6-15-16-7-17/h1-2,6-7,19H,3-5,13-14H2/p+1",C12H16N5O4,294,0.26,5.48,-3.0,20.6,-120,3.7096222384243465,1
Oc1c(OC(=O)c2nnc([nH]2)CCC)cccc1NC(=O)c1occc1,17/000000983,"InChI=1S/C17H16N4O5/c1-2-5-13-19-15(21-20-13)17(24)26-11-7-3-6-10(14(11)22)18-16(23)12-8-4-9-25-12/h3-4,6-9,22H,2,5H2,1H3,(H,18,23)(H,19,20,21)",C17H16N4O5,356,2.68,5.46,-1.32,4.94,-60,2.8613145206486923,1
Oc1c(OC(=O)c2nnc([nH]2)CCCCN)ccc(c1)CC#C/C=C/C,17/000001072,"InChI=1S/C19H22N4O3/c1-2-3-4-5-8-14-10-11-16(15(24)13-14)26-19(25)18-21-17(22-23-18)9-6-7-12-20/h2-3,10-11,13,24H,6-9,12,20H2,1H3,(H,21,22,23)/b3-2+",C19H22N4O3,354,3.47,5.46,-0.46,6.45,-80,3.4114746038087755,1
Oc1c(OC(=O)c2nnc([nH]2)CCC)cc(c(c1)OCCN)CN,17/000001013,"InChI=1S/C15H21N5O4/c1-2-3-13-18-14(20-19-13)15(22)24-12-6-9(8-17)11(7-10(12)21)23-5-4-16/h6-7,21H,2-5,8,16-17H2,1H3,(H,18,19,20)",C15H21N5O4,335,1.27,5.46,-3.27,5.08,-60,3.1069533550807193,1
OC(=O)Cc1nnc([nH]1)Cc1nc(O)c2c(n1)[nH]nn2,28/000000041,"InChI=1S/C9H8N8O3/c18-6(19)2-5-10-4(13-14-5)1-3-11-8-7(9(20)12-3)15-17-16-8/h1-2H2,(H,18,19)(H,10,13,14)(H2,11,12,15,16,17,20)",C9H8N8O3,276,0.21,5.44,1.01,24.0,-40,3.7975975767679557,1
Sc1c(/C=C/C=C/[C@H](c2ocnc2)O)cc(cc1ON)Br,15/000000295,"InChI=1S/C14H13BrN2O3S/c15-10-5-9(14(21)12(6-10)20-16)3-1-2-4-11(18)13-7-17-8-19-13/h1-8,11,18,21H,16H2/b3-1+,4-2+/t11-/m1/s1",C14H13N2O3SBr,369,1.21,5.44,-5.75,3.7,-190,4.236613184180732,1
Oc1c(OC(=O)c2nnc([nH]2)CCCCN)cccc1c1[nH]ncc1C,17/000000845,"InChI=1S/C17H20N6O3/c1-10-9-19-22-14(10)11-5-4-6-12(15(11)24)26-17(25)16-20-13(21-23-16)7-2-3-8-18/h4-6,9,24H,2-3,7-8,18H2,1H3,(H,19,22)(H,20,21,23)",C17H20N6O3,356,3.03,5.44,0.76,6.45,-140,3.19057418800836,1
ON[C@H](CCCCCCCS)C1=CC(=O)CO1,1/000000033,"InChI=1S/C12H21NO3S/c14-10-8-12(16-9-10)11(13-15)6-4-2-1-3-5-7-17/h8,11,13,15,17H,1-7,9H2/t11-/m1/s1",C12H21NO3S,259,2.27,5.39,1.47,2.48,-150,3.9056927296829915,1
O=NCC(=O)OC[C@@H](c1nnc([nH]1)S)N,1/000000708,"InChI=1S/C6H9N5O3S/c7-3(2-14-4(12)1-8-13)5-9-6(15)11-10-5/h3H,1-2,7H2,(H2,9,10,11,15)/t3-/m0/s1",C6H9N5O3S,231,-0.35,5.39,5.31,2.22,-150,4.428612549948417,1
Sc1c(/C=C/C=C/[C@H](c2sncn2)O)cc(cc1ON)Br,15/000000278,"InChI=1S/C13H12BrN3O2S2/c14-9-5-8(12(20)11(6-9)19-15)3-1-2-4-10(18)13-16-7-17-21-13/h1-7,10,18,20H,15H2/b3-1+,4-2+/t10-/m1/s1",C13H12N3O2S2Br,386,1.12,5.39,-6.04,3.7,-190,4.393877330204201,1
Oc1c(OC(=O)c2nc(oc2)CO)cccc1c1cc[nH]c1,17/000001185,"InChI=1S/C15H12N2O5/c18-7-13-17-11(8-21-13)15(20)22-12-3-1-2-10(14(12)19)9-4-5-16-6-9/h1-6,8,16,18-19H,7H2",C15H12N2O5,300,1.13,5.38,-0.2,3.58,-120,2.9139013791647788,1
OC(=O)Cc1n[nH]nc1[C@@H](CNCCS)O,1/000000275,"InChI=1S/C8H14N4O3S/c13-6(4-9-1-2-16)8-5(3-7(14)15)10-12-11-8/h6,9,13,16H,1-4H2,(H,14,15)(H,10,11,12)/t6-/m1/s1",C8H14N4O3S,246,-0.0,5.38,4.52,4.81,-150,3.7825095882257322,1
NN[C@H](/C=C/N(=O)=O)c1nnco1,26/000000066,"InChI=1S/C5H7N5O3/c6-8-4(1-2-10(11)12)5-9-7-3-13-5/h1-4,8H,6H2/b2-1+/t4-/m1/s1",C5H7N5O3,185,-0.02,5.37,7.31,2.22,-150,4.511592820928185,1
ON[C@H](c1n[nH]c(n1)COC(=O)c1cccc(c1)C)S,1/000000782,"InChI=1S/C12H14N4O3S/c1-7-3-2-4-8(5-7)12(17)19-6-9-13-10(15-14-9)11(20)16-18/h2-5,11,16,18,20H,6H2,1H3,(H,13,14,15)/t11-/m0/s1",C12H14N4O3S,294,2.02,5.37,-1.26,21.4,-170,3.3214485366404674,1
Oc1ccc(c(c1)c1cccc(c1O)OC(=O)C1=CC=CC1)Cl,17/000000177,"InChI=1S/C18H13ClO4/c19-15-9-8-12(20)10-14(15)13-6-3-7-16(17(13)21)23-18(22)11-4-1-2-5-11/h1-4,6-10,20-21H,5H2",C18H13O4Cl,328,3.86,5.37,-2.0,18.7,-180,2.7003662818495737,1
ON[C@H](C(=O)Cc1nnc(s1)C/C=C\c1oc(=O)[nH]n1)c1n[nH]cc1Br,1/000000421,"InChI=1S/C13H12BrN7O4S/c14-6-5-15-19-11(6)12(21-24)7(22)4-10-18-17-9(26-10)3-1-2-8-16-20-13(23)25-8/h1-2,5,12,21,24H,3-4H2,(H,15,19)(H,20,23)/b2-1-/t12-/m1/s1",C13H12N7O4SBr,442,1.55,5.34,0.88,3.84,-190,4.649059171609631,1
Sc1c(/C=C/C=C/[C@H](C(=O)N)O)cc(cc1ON)Br,15/000000269,"InChI=1S/C12H13BrN2O3S/c13-8-5-7(11(19)10(6-8)18-15)3-1-2-4-9(16)12(14)17/h1-6,9,16,19H,15H2,(H2,14,17)/b3-1+,4-2+/t9-/m1/s1",C12H13N2O3SBr,345,0.31,5.34,-5.84,2.35,-170,4.138779163765142,1
OC/C=C/1\C(=O)NN=C1C(=O)Cc1oc(cc1)CC(=O)Nc1ccccc1C,1/000000614,"InChI=1S/C20H19N3O5/c1-12-4-2-3-5-16(12)21-18(26)11-14-7-6-13(28-14)10-17(25)19-15(8-9-24)20(27)23-22-19/h2-8,24H,9-11H2,1H3,(H,21,26)(H,23,27)/b15-8-",C20H19N3O5,381,0.74,5.32,3.08,3.84,-80,3.0327216634552636,1
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)c1cc(S)ccc1O,1/000000619,"InChI=1S/C17H14N2O5S/c20-6-5-11-16(18-19-17(11)23)14(22)7-9-1-4-15(24-9)12-8-10(25)2-3-13(12)21/h1-5,8,20-21,25H,6-7H2,(H,19,23)/b11-5-",C17H14N2O5S,358,1.65,5.32,0.21,3.84,-120,3.4909723350777417,1
Oc1c(OC(=O)c2nnc([nH]2)CCC)cc(cc1)CN,17/000000735,"InChI=1S/C13H16N4O3/c1-2-3-11-15-12(17-16-11)13(19)20-10-6-8(7-14)4-5-9(10)18/h4-6,18H,2-3,7,14H2,1H3,(H,15,16,17)",C13H16N4O3,276,2.13,5.32,-0.33,3.58,-20,2.8835743118749537,1
Oc1c(OC(=O)c2nc(oc2)CC=C)ccc(c1c1cc[nH]c1)CC#CC,17/000001229,"InChI=1S/C21H18N2O4/c1-3-5-7-14-8-9-17(20(24)19(14)15-10-11-22-12-15)27-21(25)16-13-26-18(23-16)6-4-2/h4,8-13,22,24H,2,6-7H2,1H3",C21H18N2O4,362,3.3,5.31,-2.85,6.45,-200,3.497924962837022,1
OC/C=C/C=C/c1cc(Br)cc(c1S)ON,15/000000174,"InChI=1S/C11H12BrNO2S/c12-9-6-8(4-2-1-3-5-14)11(16)10(7-9)15-13/h1-4,6-7,14,16H,5,13H2/b3-1+,4-2+",C11H12NO2SBr,302,1.8,5.3,-5.2,2.35,0,3.534983790033646,1
Sc1c(/C=C/C=C/[C@H](CO)O)cc(cc1ON)Br,15/000000297,"InChI=1S/C12H14BrNO3S/c13-9-5-8(12(18)11(6-9)17-14)3-1-2-4-10(16)7-15/h1-6,10,15-16,18H,7,14H2/b3-1+,4-2+/t10-/m1/s1",C12H14NO3SBr,332,1.19,5.3,-6.1,2.35,-150,4.007532939611431,1
Sc1nnc([nH]1)[C@H](COC(=O)CCC(=O)C1=CCNC(=S)N1)N,1/000001124,"InChI=1S/C12H16N6O3S2/c13-6(10-16-12(23)18-17-10)5-21-9(20)2-1-8(19)7-3-4-14-11(22)15-7/h3,6H,1-2,4-5,13H2,(H2,14,15,22)(H2,16,17,18,23)/t6-/m0/s1",C12H16N6O3S2,356,0.74,5.3,0.29,3.58,-170,4.437790680431654,1
O=Nc1ccc(c(c1c1nc(N)c(cc1)Cl)O)OC(=O)CC(=O)NN,17/000000123,"InChI=1S/C14H12ClN5O5/c15-6-1-2-7(18-14(6)16)12-8(20-24)3-4-9(13(12)23)25-11(22)5-10(21)19-17/h1-4,23H,5,17H2,(H2,16,18)(H,19,21)",C14H12N5O5Cl,365,0.24,5.29,-2.86,24.5,-180,3.09456910947981,1
C1=CC(=O)[C@@H](O1)/C=c\1/sc2c([nH]1)c(OS(=O)=O)ccc2C[NH3+],30/000000033,"InChI=1S/C13H12N2O5S2/c14-6-7-1-2-9(20-22(17)18)12-13(7)21-11(15-12)5-10-8(16)3-4-19-10/h1-5,10,15,22H,6,14H2/p+1/b11-5+/t10-/m0/s1",C13H13N2O5S2,341,0.31,5.29,-0.37,24.8,-190,5.378589207262442,1
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)[C@H](/C=C/CSC)O,1/000000992,"InChI=1S/C16H18N2O5S/c1-24-8-2-3-12(20)14-5-4-10(23-14)9-13(21)15-11(6-7-19)16(22)18-17-15/h2-6,12,19-20H,7-9H2,1H3,(H,18,22)/b3-2+,11-6-/t12-/m0/s1",C16H18N2O5S,350,0.23,5.29,1.68,3.84,-190,4.392761133233142,1
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1c1[nH]ccc1)CC#CC,17/000000594,"InChI=1S/C17H14N4O3/c1-2-3-5-11-7-8-13(24-17(23)16-19-10-20-21-16)15(22)14(11)12-6-4-9-18-12/h4,6-10,18,22H,5H2,1H3,(H,19,20,21)",C17H14N4O3,322,3.61,5.27,-4.16,5.09,-180,3.6095204294080787,1
OC/C=C(\C[NH3+])/C=C/c1cc(Br)cc(c1S)ON,15/000000245,"InChI=1S/C12H15BrN2O2S/c13-10-5-9(12(18)11(6-10)17-15)2-1-8(7-14)3-4-16/h1-3,5-6,16,18H,4,7,14-15H2/p+1/b2-1+,8-3-",C12H16N2O2SBr,332,0.84,5.27,-9.04,2.35,-40,4.172023275285477,1
Oc1c(OC(=O)c2nnc[nH]2)ccc(c1c1ncsc1)CC#CC,17/000000563,"InChI=1S/C16H12N4O3S/c1-2-3-4-10-5-6-12(23-16(22)15-17-8-19-20-15)14(21)13(10)11-7-24-9-18-11/h5-9,21H,4H2,1H3,(H,17,19,20)",C16H12N4O3S,340,3.7,5.27,-6.3,5.09,-200,3.6424582220502195,1
Oc1c(OC(=O)C(=O)O)ccc(c1C1=CCC=CO1)CCC,17/000001443,"InChI=1S/C16H16O6/c1-2-5-10-7-8-12(22-16(20)15(18)19)14(17)13(10)11-6-3-4-9-21-11/h4,6-9,17H,2-3,5H2,1H3,(H,18,19)",C16H15O6,303,2.3,5.26,-4.95,20.0,-180,3.214280482029128,1
Sc1c(/C=C/C=C/[C@@H](CO)O)cc(cc1ON)Br,15/000000214,"InChI=1S/C12H14BrNO3S/c13-9-5-8(12(18)11(6-9)17-14)3-1-2-4-10(16)7-15/h1-6,10,15-16,18H,7,14H2/b3-1+,4-2+/t10-/m0/s1",C12H14NO3SBr,332,1.19,5.26,-5.38,2.35,-190,4.007532939611431,1
OC(=O)c1ccccc1COC(=O)[C@@H](c1cnc[nH]1)/C=C/c1csc(c1)Cl,12/000000058,"InChI=1S/C19H15ClN2O4S/c20-17-7-12(10-27-17)5-6-15(16-8-21-11-22-16)19(25)26-9-13-3-1-2-4-14(13)18(23)24/h1-8,10-11,15H,9H2,(H,21,22)(H,23,24)/b6-5+/t15-/m1/s1",C19H15N2O4SCl,402,2.92,5.26,-1.54,3.72,-190,3.5117730887014362,1
Oc1c(OC(=O)c2nnc[nH]2)cccc1c1[nH]nc(c1Cl)CC,17/000001461,"InChI=1S/C14H12ClN5O3/c1-2-8-10(15)11(19-18-8)7-4-3-5-9(12(7)21)23-14(22)13-16-6-17-20-13/h3-6,21H,2H2,1H3,(H,18,19)(H,16,17,20)",C14H12N5O3Cl,333,3.82,5.25,-2.93,3.58,-160,3.336965571790402,1
Sc1c(/C=C/C=C/[C@H](CN)O)cc(cc1ON)Br,15/000000227,"InChI=1S/C12H15BrN2O2S/c13-9-5-8(12(18)11(6-9)17-15)3-1-2-4-10(16)7-14/h1-6,10,16,18H,7,14-15H2/b3-1+,4-2+/t10-/m1/s1",C12H15N2O2SBr,331,1.12,5.25,-5.77,2.35,-150,4.1194352943995,1
OC(=O)c1c(S)c(N=O)ccc1COC(=O)C/C=C/c1csc(c1)Cl,12/000000111,"InChI=1S/C16H12ClNO5S2/c17-12-6-9(8-25-12)2-1-3-13(19)23-7-10-4-5-11(18-22)15(24)14(10)16(20)21/h1-2,4-6,8,24H,3,7H2,(H,20,21)/b2-1+",C16H12NO5S2Cl,397,3.22,5.24,-0.19,5.09,-40,3.4118545806582476,1
Oc1ccc(cc1[C@H]([NH3+])c1nocn1)Cl,11/000000014,"InChI=1S/C9H8ClN3O2/c10-5-1-2-7(14)6(3-5)8(11)9-12-4-15-13-9/h1-4,8,14H,11H2/p+1/t8-/m0/s1",C9H9N3O2Cl,226,1.12,5.24,6.14,16.1,-150,3.901506519393605,1
Sc1nnc([nH]1)[C@H](COC(=O)Cc1ccoc1C)N,1/000000717,"InChI=1S/C11H14N4O3S/c1-6-7(2-3-17-6)4-9(16)18-5-8(12)10-13-11(19)15-14-10/h2-3,8H,4-5,12H2,1H3,(H2,13,14,15,19)/t8-/m0/s1",C11H14N4O3S,282,1.07,5.22,6.31,2.22,-170,3.9001052800461977,1
OC(=O)[C@@H](c1nnc[nH]1)c1nc(O)c2c(n1)[nH]nn2,28/000000071,"InChI=1S/C8H6N8O3/c17-7-3-6(15-16-13-3)11-5(12-7)2(8(18)19)4-9-1-10-14-4/h1-2H,(H,18,19)(H,9,10,14)(H2,11,12,13,15,16,17)/t2-/m0/s1",C8H6N8O3,262,0.12,5.22,-1.79,23.4,-190,4.491069963161825,1
ON[C@@H](CO)C(=O)Cc1nnc(s1)CC#CC,1/000000571,"InChI=1S/C10H13N3O3S/c1-2-3-4-9-11-12-10(17-9)5-8(15)7(6-14)13-16/h7,13-14,16H,4-6H2,1H3/t7-/m0/s1",C10H13N3O3S,255,-0.04,5.22,-1.31,2.22,-190,3.9358351192083605,1
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)c1ccccc1,1/000000626,"InChI=1S/C17H14N2O4/c20-9-8-13-16(18-19-17(13)22)14(21)10-12-6-7-15(23-12)11-4-2-1-3-5-11/h1-8,20H,9-10H2,(H,19,22)/b13-8-",C17H14N2O4,310,1.68,5.21,2.07,3.84,-120,2.964955856889917,1
O[C@](c1nnc[nH]1)(C#CC/C=C\CCNN)S,21/000000043,"InChI=1S/C10H15N5OS/c11-13-7-5-3-1-2-4-6-10(16,17)9-12-8-14-15-9/h1,3,8,13,16-17H,2,5,7,11H2,(H,12,14,15)/b3-1-/t10-/m1/s1",C10H15N5OS,253,0.75,5.2,11.17,21.9,-150,4.884024460452222,1
OC(=O)c1c(S)cccc1COC(=O)[C@@H](C1=CCC=C1)/C=C/c1csc(c1)Cl,12/000000122,"InChI=1S/C21H17ClO4S2/c22-18-10-13(12-28-18)8-9-16(14-4-1-2-5-14)21(25)26-11-15-6-3-7-17(27)19(15)20(23)24/h1,3-10,12,16,27H,2,11H2,(H,23,24)/b9-8+/t16-/m1/s1",C21H17O4S2Cl,432,4.26,5.2,-0.66,5.08,-190,4.035350927169169,1
Oc1c(OC(=O)c2nnc([nH]2)CCCCN)cccc1CN(=O)=O,17/000001375,"InChI=1S/C14H17N5O5/c15-7-2-1-6-11-16-13(18-17-11)14(21)24-10-5-3-4-9(12(10)20)8-19(22)23/h3-5,20H,1-2,6-8,15H2,(H,16,17,18)",C14H17N5O5,335,1.69,5.19,1.15,5.21,-40,3.2094045605916257,1
ONC(=O)/C=C/CCCC(=O)O[C@H](c1scc(c1)Br)c1nnc(s1)CN,8/000000065,"InChI=1S/C15H17BrN4O4S2/c16-9-6-10(25-8-9)14(15-19-18-12(7-17)26-15)24-13(22)5-3-1-2-4-11(21)20-23/h2,4,6,8,14,23H,1,3,5,7,17H2,(H,20,21)/b4-2+/t14-/m1/s1",C15H17N4O4S2Br,461,1.03,5.19,-0.48,4.69,-150,3.7135192832491937,1
Oc1c(OC(=O)c2nnc[nH]2)cc(cc1)C[NH2+][C@H]1CN=CC1,17/000001321,"InChI=1S/C14H15N5O3/c20-11-2-1-9(6-16-10-3-4-15-7-10)5-12(11)22-14(21)13-17-8-18-19-13/h1-2,4-5,8,10,16,20H,3,6-7H2,(H,17,18,19)/p+1/t10-/m1/s1",C14H16N5O3,302,1.66,5.18,-2.67,3.58,-150,4.635511283875346,1
OC/C=C/1\C(=O)NN=C1C(=O)C/C=C/C(=O)[C@@H](c1c(Cl)scc1)c1nocc1,1/000001028,"InChI=1S/C18H14ClN3O5S/c19-17-10(6-9-28-17)15(12-5-8-27-22-12)13(24)2-1-3-14(25)16-11(4-7-23)18(26)21-20-16/h1-2,4-6,8-9,15,23H,3,7H2,(H,21,26)/b2-1+,11-4-/t15-/m0/s1",C18H14N3O5SCl,419,0.97,5.18,-0.33,7.96,-170,4.4701201579384,1
OC(=O)Cc1onc(n1)C/C=C/Cc1ncnc(n1)/C=C\C[C@H](C)O,22/000000018,"InChI=1S/C16H19N5O4/c1-11(22)5-4-8-13-18-10-17-12(19-13)6-2-3-7-14-20-15(25-21-14)9-16(23)24/h2-4,8,10-11,22H,5-7,9H2,1H3,(H,23,24)/b3-2+,8-4-/t11-/m0/s1",C16H19N5O4,345,-0.39,5.18,8.68,6.72,-170,4.003358640790475,1
OC[C@@H](/C=C/c1nc(c[nH]1)CCO)S,26/000000077,"InChI=1S/C9H14N2O2S/c12-4-3-7-5-10-9(11-7)2-1-8(14)6-13/h1-2,5,8,12-14H,3-4,6H2,(H,10,11)/b2-1+/t8-/m1/s1",C9H14N2O2S,214,-0.22,5.18,10.24,2.22,-150,4.5209848400434485,1
Oc1c(OC(=O)CCNN)ccc(c1)c1nocn1,17/000000081,"InChI=1S/C11H12N4O4/c12-14-4-3-10(17)19-9-2-1-7(5-8(9)16)11-13-6-18-15-11/h1-2,5-6,14,16H,3-4,12H2",C11H12N4O4,264,0.36,5.17,-3.47,20.4,-160,2.8885745845501596,1
Oc1c(OC(=O)c2nc(oc2)CC=C)c(F)ccc1c1cc[nH]c1,17/000001388,"InChI=1S/C17H13FN2O4/c1-2-3-14-20-13(9-23-14)17(22)24-16-12(18)5-4-11(15(16)21)10-6-7-19-8-10/h2,4-9,19,21H,1,3H2",C17H13N2O4F,328,2.76,5.16,0.72,4.94,-120,3.1989538447139996,1
Oc1c(OC(=O)[C@H]2C=CCC2)cc(cc1N(=O)=O)O,17/000000366,"InChI=1S/C12H11NO6/c14-8-5-9(13(17)18)11(15)10(6-8)19-12(16)7-3-1-2-4-7/h1,3,5-7,14-15H,2,4H2/t7-/m0/s1",C12H11NO6,265,1.4,5.16,-0.32,2.35,-150,3.3952925469882542,1
